Lon,Lat,subregion,Capacity,treatment_type
33.48834,0.614819,Iganga,800,ponds
33.470204,0.615676,Iganga,400,ponds
31.346599,1.440845,Hoima,0.7923,ponds
33.219319,0.42479,Jinja,12000,ponds
30.002699,-1.257092,Kabale,1300,ponds
30.272679,0.654739,Kabarole,55,ponds
32.607589,0.31848805,Kampala,33000,secondary
32.5443269,0.3465463,Kampala,5400,ponds
32.309155,2.778279,Gulu,1,ponds
34.182704,0.703629,Tororo,1,ponds
33.62164,1.704514,Soroti,1,ponds
31.742977,-0.346633,Masaka,1,ponds
31.755505,-0.319403,Masaka,1,ponds
32.455391,0.053521,Wakiso,550,ponds
32.472929,0.069615,Wakiso,790,ponds
32.895415,2.246428,Lira,900,ponds
30.66955,-0.598582,Mbarara,1,ponds
30.674568,-0.609079,Mbarara,1,ponds
30.66027,-0.619956,Mbarara,1,ponds
30.261926,-0.879107,Ntungamo,1,ponds
29.690258,-1.277358,Kisoro,1,ponds
34.149872,1.073843,Mbale,1,ponds
34.161191,1.08693,Mbale,1,ponds
31.727901,1.675972,Masindi,1,ponds
32.102877,0.063237,Mpigi,1,ponds
