Ditrict,ISO,HDI(2015),TotalPopulation-2014,FractionUrbanpop,FractionRuralpop,Fractionpopulation<5,Fractionpop>5,FractionConnectedUrban,FractionConnectedRural,FractionDirectUrban,FractionDirectRural,FractionDiffuseUrban,FractionDiffuseRural,FractionOnsiteUrban,FractionOnsiteRural,Fraction onsite treatment urban,Fraction onsite treatment rural,Fraction onsite to water urban,Fraction onsite to water rural,Fraction onsite to land urban,Fraction onsite to land rural,Fraction onsite flush urb,Fraction onsite flush rur,Fraction onsite remain urb,Fraction onsite remain rur,FractionPrimarytreatment,FractionSecondarytreatment,FractionTertiarytreatment,FractionQuaternarytreatment,FractionPonds,FractionNontreatment, Avg pit empty time (years) urb,Avg pit empty time (years) rur,Avg pit flush time (years) urb,Avg pit flush time (years) rur
Abim,1,0.493,107966,0.15908712,0.84091288,0.177278887,0.822721113,0,0,0.39,0,0,0.39,0.61,0.61,0.2,0,0.015,0,0.005,0,0.08,0,0.7,1,0,0,0,0,0,1,5,5,1,1
Adjumani,2,0.493,225251,0.179297761,0.820702239,0.177278887,0.822721113,0,0,0.22,0,0,0.22,0.78,0.78,0.2,0,0.015,0,0.005,0,0.08,0,0.7,1,0,0,0,0,0,1,5,5,1,1
Agago,3,0.493,227792,0.127278394,0.872721606,0.177278887,0.822721113,0,0,0.335,0,0,0.335,0.665,0.665,0.2,0,0.015,0,0.005,0,0.08,0,0.7,1,0,0,0,0,0,1,5,5,1,1
Alebtong,4,0.493,227541,0.029471612,0.970528388,0.177278887,0.822721113,0,0,0.15,0,0,0.15,0.85,0.85,0.2,0,0.015,0,0.005,0,0.08,0,0.7,1,0,0,0,0,0,1,5,5,1,1
Amolatar,5,0.493,147166,0.146800212,0.853199788,0.177278887,0.822721113,0,0,0.15,0,0,0.15,0.85,0.85,0.2,0,0.015,0,0.005,0,0.08,0,0.7,1,0,0,0,0,0,1,5,5,1,1
Amudat,6,0.493,105767,0.111424168,0.888575832,0.177278887,0.822721113,0,0,0.829,0,0,0.829,0.171,0.171,0.2,0,0.015,0,0.005,0,0.08,0,0.7,1,0,0,0,0,0,1,5,5,1,1
Amuria,7,0.493,270928,0.06416834,0.93583166,0.177278887,0.822721113,0,0,0.155,0,0,0.155,0.845,0.845,0.2,0,0.015,0,0.005,0,0.08,0,0.7,1,0,0,0,0,0,1,5,5,1,1
Amuru,8,0.493,186696,0.049818957,0.950181043,0.177278887,0.822721113,0,0,0.272,0,0,0.272,0.728,0.728,0.2,0,0.015,0,0.005,0,0.08,0,0.7,1,0,0,0,0,0,1,5,5,1,1
Apac,9,0.493,368626,0.061292475,0.938707525,0.177278887,0.822721113,0,0,0.197,0,0,0.197,0.803,0.803,0.2,0,0.015,0,0.005,0,0.08,0,0.7,1,0,0,0,0,0,1,5,5,1,1
Arua,10,0.493,782077,0.079207035,0.920792965,0.177278887,0.822721113,0,0,0.27,0,0,0.27,0.73,0.73,0.2,0,0.015,0,0.005,0,0.08,0,0.7,1,0,0,0,0,0,1,5,5,1,1
