"","countryname","iso","pathogen_urb_con","pathogen_rur_con","pathogen_urb_dir","pathogen_rur_dir","pathogen_urb_dif","pathogen_rur_dif","pathogen_urb_onsite_treated","pathogen_rur_onsite_treated","pathogen_urb_onsite_water","pathogen_rur_onsite_water","pathogen_urb_onsite_land","pathogen_rur_onsite_land","pathogen_urb_onsite_flush","pathogen_rur_onsite_flush"
"1","Abim",1,0,0,669863999918.88,0,0,88520250002.028,0,0,54748570.9701488,0,456238.091417907,0,7299809203.87136,0
"2","Adjumani",2,0,0,888513999186.242,0,0,101675200020.344,0,0,128733729.274224,0,1072781.0772852,0,17164496627.995,0
"3","Agago",3,0,0,971265497522.608,0,0,166494162561.935,0,0,92415307.0727166,0,770127.558939305,0,12322040506.1502,0
"4","Alebtong",4,0,0,100590000991.38,0,0,82813124975.2155,0,0,21375402.9220261,0,178128.357683551,0,2850053621.88801,0
"5","Amolatar",5,0,0,324059999987.88,0,0,47085750000.303,0,0,68862839.2721293,0,573856.993934411,0,9181711577.41247,0
"6","Amudat",6,0,0,976976498081.362,0,0,194777695047.966,0,0,37564736.1256542,0,313039.467713785,0,5008631305.83926,0
"7","Amuria",7,0,0,269467500302.56,0,0,98247912492.436,0,0,55414759.4026544,0,461789.661688786,0,7388634325.05614,0
"8","Amuru",8,0,0,252987199893.158,0,0,120628600002.671,0,0,29646975.9222151,0,247058.132685126,0,3952929982.81066,0
"9","Apac",9,0,0,445101797820.195,0,0,170420760054.495,0,0,72018468.0130071,0,600153.900108393,0,9602462061.27845,0
"10","Arua",10,0,0,1672542008415.77,0,0,486088424789.606,0,0,197453131.974406,0,1645442.76645338,0,26327083329.8259,0
"11","Budaka",11,0,0,811818000355.674,0,0,156161999991.108,0,0,76108036.2008193,0,634233.635006827,0,10147737800.3206,0
"12","Bududa",12,0,0,385644002215.276,0,0,137479999944.618,0,0,43901494.6666696,0,365845.788888913,0,5853532414.68529,0
"13","Bugiri",13,0,0,1252524000666.67,0,0,155356987483.333,0,0,204739765.536341,0,1706164.71280284,0,27298634436.9709,0
"14","Buhweju",14,0,0,38375999500.8,0,0,38274600012.48,0,0,9409512.07621715,0,78412.600635143,0,1254601565.68032,0
"15","Buikwe",15,0,0,5215549996541.1,0,0,133843125086.472,0,0,664983486.652466,0,5541529.05543721,0,88664461743.392,0
"16","Bukedea",16,0,0,174543999680,0,0,77076400008,0,0,34772482.5157608,0,289770.68763134,0,4636330837.72008,0
"17","Bukomansimbi",17,0,0,400139999244.274,0,0,108098640018.893,0,0,40879740.419834,0,340664.503498616,0,5450631862.7254,0
"18","Bukwo",18,0,0,466828398524.708,0,0,74557830036.8823,0,0,38549674.8544872,0,321247.29045406,0,5139956465.02752,0
"19","Bulambuli",19,0,0,495831000825.317,0,0,115867604979.367,0,0,53757257.281106,0,447977.144009216,0,7167634050.01859,0
"20","Buliisa",20,0,0,231616001104.832,0,0,84738399972.3792,0,0,23071155.0198052,0,192259.625165043,0,3076153893.57548,0
"21","Bundibugyo",21,0,0,998507998360.684,0,0,132108200040.983,0,0,113669584.676149,0,947246.538967913,0,15155944086.1318,0
"22","Bushenyi",22,0,0,353609000200.984,0,0,34531174994.9754,0,0,152314885.049624,0,1269290.70874687,0,20308650619.9055,0
"23","Busia",23,0,0,646852398314.11,0,0,79308980042.1472,0,0,174732601.070274,0,1456105.00891895,0,23297679316.6826,0
"24","Butaleja",24,0,0,830024998641.475,0,0,131845000033.963,0,0,105828324.524042,0,881902.704367014,0,14110442769.5857,0
"25","Butambala",25,0,0,487584001067.52,0,0,68482399973.312,0,0,48568000.5705397,0,404733.338087831,0,6475733179.80782,0
"26","Buvuma",26,0,0,616031997471.64,0,0,123928700063.209,0,0,31671040.9287743,0,263925.341073119,0,4222805307.45011,0
"27","Buyende",27,0,0,434419701307.036,0,0,140173329967.324,0,0,74048908.7207848,0,617074.239339873,0,9873187479.38355,0
"28","Dokolo",28,0,0,221309000005.104,0,0,44817849999.8724,0,0,64129395.6396842,0,534411.630330702,0,8550585782.12973,0
"29","Gomba",29,0,0,559755003141.81,0,0,165918374921.455,0,0,39649364.1245102,0,330411.367704252,0,5286581695.83197,0
"30","Gulu",30,26418889.430019,0,2846200002422.6,0,0,186254249917.122,522825.024049383,0,954976238.856798,0,7958135.32380665,0,127330160666.408,0
"31","Hoima",31,20931686.0954041,0,635789998464.36,0,0,105079725057.587,414234.266554326,0,675527749.131581,0,5629397.90942984,0,90070363357.4276,0
"32","Ibanda",32,0,0,712415000657.25,0,0,50836499983.5688,0,0,206438705.320348,0,1720322.54433624,0,27525159733.4737,0
"33","Iganga",33,31702667316.0229,0,1966024401948.85,0,0,238646799946.682,627390028.859259,0,591199142.0245,0,4926659.51687083,0,78826549475.1336,0
"34","Isingiro",34,0,0,476250801183.36,0,0,92661129970.416,0,0,176517604.27838,0,1470980.03565317,0,23535679735.9918,0
"35","Jinja",35,317026673160.228,0,1672124802231.81,0,0,184544814857.923,6273900288.5926,0,1098949426.1595,0,9157911.88466252,0,146526584959.492,0
"36","Kaabong",36,0,0,909772003037.899,0,0,307557632424.053,0,0,36847547.892694,0,307062.899105783,0,4913006211.50162,0
"37","Kabale",37,34344556259.0247,0,0,0,0,45209300017.5993,679672531.264198,0,485380378.131651,0,4044836.48443042,0,64717381456.3284,0
"38","Kabarole",38,1453038918.65105,0,1746802201782.07,0,0,141435914949.217,28755376.3227161,0,778732760.354006,0,6489439.66961672,0,103831031032.532,0
"39","Kaberamaido",39,0,0,68544000794.682,0,0,89672449980.1329,0,0,12852016.8105292,0,107100.140087743,0,1713602180.64803,0
"40","Kalangala",40,0,0,154380000492.156,0,0,38217574987.6961,0,0,15873770.629573,0,132281.421913109,0,2116502675.56902,0
"41","Kaliro",41,0,0,432433797643.17,0,0,141537510058.921,0,0,53425756.4706863,0,445214.637255719,0,7123433943.52975,0
"42","Kalungu",42,0,0,241027500100.8,0,0,28330312497.48,0,0,102436820.343302,0,853640.169527519,0,13658242228.1866,0
"43","Kampala",43,7989072163637.75,0,6.706506e+13,NA,0,0,158102287272.533,0,80063728795.6876,NA,667197739.964063,0,3843058845937.13,NA
"44","Kamuli",44,0,0,1768957806984.61,0,0,318083709825.385,0,0,189213433.545919,0,1576778.61288266,0,25228456911.6461,0
"45","Kamwenge",45,0,0,453578397918.624,0,0,193815270052.034,0,0,73019344.3281834,0,608494.536068195,0,9735912231.90381,0
"46","Kanungu",46,0,0,357965999171.424,0,0,35176050020.7144,0,0,163002585.941432,0,1358354.88284527,0,21733677354.9555,0
"47","Kapchorwa",47,0,0,236262400752.259,0,0,40375279981.1935,0,0,42789055.6085434,0,356575.463404529,0,5705207212.19401,0
"48","Kasese",48,0,0,1693733999606.88,0,0,200903850009.828,0,0,385627437.343056,0,3213561.9778588,0,51416989822.7486,0
"49","Katakwi",49,0,0,235915200932.307,0,0,99658804976.6923,0,0,29605538.4980128,0,246712.820816773,0,3947404993.11291,0
"50","Kayunga",50,0,0,747628797194.515,0,0,235272060070.137,0,0,86343111.6123603,0,719525.930103003,0,11512414473.4747,0
"51","Kibaale",51,0,0,988479994475.52,0,0,289323200138.112,0,0,196924004.19433,0,1641033.36828608,0,26256532961.6504,0
"52","Kiboga",52,0,0,1340800001857.68,0,0,114697999953.558,0,0,106845138.663499,0,890376.155529158,0,14246017983.3732,0
"53","Kibuku",53,0,0,249334800803.503,0,0,65993427479.9124,0,0,55577322.2302854,0,463144.351919045,0,7410309367.97179,0
"54","Kiruhura",54,0,0,281295001258.11,0,0,66784949968.5472,0,0,99625442.1013346,0,830212.017511122,0,13283391809.2146,0
"55","Kiryandongo",55,0,0,1768175396762.31,0,0,167422230080.942,0,0,177234791.94502,0,1476956.59954183,0,23631304754.8201,0
"56","Kisoro",56,26418889.430019,0,552351802006.599,0,0,145422442447.523,522825.024049383,0,162269460.957793,0,1352245.50798161,0,21635927360.6027,0
"57","Kitgum",57,0,0,3099313000661.9,0,0,131666374983.452,0,0,240952999.926147,0,2007941.66605122,0,32127065517.7527,0
"58","Koboko",58,0,0,1274020001229.14,0,0,81721749969.2715,0,0,184588364.480907,0,1538236.37067423,0,24611781058.1755,0
"59","Kole",59,0,0,194656001815.572,0,0,126763449954.611,0,0,28203036.8258453,0,235025.306882044,0,3760404776.78735,0
"60","Kotido",60,0,0,1268843206833.36,0,0,382883419829.166,0,0,44153307.4787251,0,367944.228989376,0,5887107455.10229,0
"61","Kumi",61,0,0,291951999808.32,0,0,40554800004.792,0,0,116324775.728621,0,969373.131071839,0,15509969547.2426,0
"62","Kween",62,0,0,129140000491.32,0,0,43604999987.717,0,0,20581714.2607134,0,171514.285505945,0,2744228470.79835,0
"63","Kyankwanzi",63,0,0,1004212997084.2,0,0,194955000072.895,0,0,78071538.4863,0,650596.1540525,0,10409538095.7692,0
"64","Kyegegwa",64,0,0,765330003027.244,0,0,185757667424.319,0,0,83831359.0116861,0,698594.658430718,0,11177514138.5921,0
"65","Kyenjojo",65,0,0,842569000548.548,0,0,116152074986.286,0,0,206591705.462747,0,1721597.54552289,0,27545559751.7368,0
"66","Lamwo",66,0,0,1226248800180.82,0,0,158818169995.479,0,0,69302714.8551844,0,577522.623793204,0,9240361653.07372,0
"67","Lira",67,23777000487.0171,0,1721641001617.38,0,0,153384999952.43,470542521.644445,0,645616212.592,0,5380135.10493334,0,86082158626.8856,0
"68","Luuka",68,0,0,353322400162.368,0,0,195864139995.941,0,0,32738854.9581339,0,272823.791317783,0,4365180506.3168,0
"69","Luweero",69,0,0,1626458002980.44,0,0,153545699925.489,0,0,304961270.914698,0,2541343.92428915,0,40661501346.9706,0
"70","Lwengo",70,0,0,1030608001614.24,0,0,139206599959.644,0,0,136877802.664603,0,1140648.35553836,0,18250373041.5458,0
"71","Lyantonde",71,0,0,152052999759.045,0,0,21980750006.0239,0,0,44060869.5512777,0,367173.912927314,0,5874782398.54629,0
"72","Manafwa",72,0,0,1076963996495.1,0,0,158834025087.622,0,0,163467961.390055,0,1362233.01158379,0,21795727412.5719,0
"73","Maracha",73,0,0,167399998569.648,0,0,79575300035.7588,0,0,29643788.1773115,0,247031.568144263,0,3952504950.17191,0
"74","Masaka",74,52837778.8600381,0,1084576500501.69,0,0,75063012481.4853,1045650.04809877,0,658493728.984664,0,5487447.74153887,0,87799160751.6977,0
"75","Masindi",75,26418889.430019,0,1511008001840.11,0,0,103254374939.621,522825.024049383,0,602043031.229798,0,5017025.26024832,0,80272401317.9106,0
"76","Mayuge",76,0,0,1073503994623.01,0,0,351753600134.425,0,0,106931200.591438,0,891093.338261984,0,14257492906.6915,0
"77","Mbale",77,52837778.8600381,0,0,0,0,173787774922.176,1045650.04809877,0,784706143.348007,0,6539217.86123339,0,104627482070.161,0
"78","Mbarara",78,79256668.2900571,0,0,0,0,9711485008.25895,1568475.07214815,0,1244133861.40745,0,10367782.1783954,0,165884508972.882,0
"79","Mitooma",79,0,0,91168000587.552,0,0,34409599985.3112,0,0,36324797.3260552,0,302706.644383794,0,4843306138.42101,0
"80","Mityana",80,0,0,1302395600298.97,0,0,66951719992.5258,0,0,343090194.865469,0,2859084.95721224,0,45745357693.4916,0
"81","Moroto",81,0,0,1388610098700.2,0,0,217917407532.495,0,0,45303996.1902994,0,377533.301585828,0,6040532611.20583,0
"82","Moyo",82,0,0,63479999672.664,0,0,19264800008.1834,0,0,33723793.5460792,0,281031.612883993,0,4496505646.72004,0
"83","Mpigi",83,26418889.430019,0,1385791996076.93,0,0,176155700104.207,522825.024049383,0,276076107.127204,0,2300634.22606003,0,36810146311.8547,0
"84","Mubende",84,0,0,1886875203986.27,0,0,240249659900.343,0,0,358001339.874043,0,2983344.49895036,0,47733510290.8115,0
"85","Mukono",85,0,0,1464677999510.08,0,0,97663950012.2481,0,0,518740797.328985,0,4322839.97774154,0,69165437191.6001,0
"86","Nakapiripirit",86,0,0,255809397960.522,0,0,262328115050.987,0,0,11886202.8146677,0,99051.6901222312,0,1584826985.76557,0
"87","Nakaseke",87,0,0,614639999701.868,0,0,61607910007.4533,0,0,125587662.752607,0,1046563.85627173,0,16745021106.652,0
"88","Nakasongola",88,0,0,321620000237.159,0,0,51044174994.071,0,0,78858852.2918191,0,657157.102431826,0,10514513266.1166,0
"89","Namayingo",89,0,0,605412499270.194,0,0,192227612518.245,0,0,50123502.4203559,0,417695.853502966,0,6683133419.09658,0
"90","Namutumba",90,0,0,296042099232.73,0,0,92992342519.1818,0,0,59348139.2859046,0,494567.827382538,0,7913084957.56174,0
"91","Napak",91,0,0,368550000310.752,0,0,268123049992.231,0,0,15060957.0379249,0,125507.975316041,0,2008127533.85838,0
"92","Nebbi",92,0,0,1162580001455.48,0,0,169332499963.613,0,0,185286427.939768,0,1544053.56616473,0,24704856182.7236,0
"93","Ngora",93,0,0,242736000520.224,0,0,50699199986.9944,0,0,48357625.2951098,0,402980.210792582,0,6447683144.07834,0
"94","Ntoroko",94,0,0,792173698935.399,0,0,35977320026.615,0,0,75827535.7019258,0,631896.130849382,0,10110337735.1275,0
"95","Ntungamo",95,26418889.430019,0,187953000223.203,0,0,53959402490.8199,522825.024049383,0,386516751.544486,0,3220972.92953739,0,51535565045.4018,0
"96","Nwoya",96,0,0,341184300888.389,0,0,75245407477.7903,0,0,43327743.7834842,0,361064.531529035,0,5777032299.63956,0
"97","Otuke",97,0,0,211242001099.696,0,0,83334849972.5076,0,0,19803963.277219,0,165033.027310159,0,2640528343.34246,0
"98","Oyam",98,0,0,186193499833.188,0,0,92215272504.1703,0,0,58761638.6267285,0,489680.321889405,0,7834884872.44419,0
"99","Pader",99,0,0,656698000772.828,0,0,201637449980.679,0,0,42718930.4316653,0,355991.086930545,0,5695857188.94178,0
"100","Pallisa",100,0,0,493206997490.48,0,0,113409075062.738,0,0,120930718.660884,0,1007755.9888407,0,16124095249.7705,0
"101","Rakai",101,0,0,544976003954.64,0,0,192899199901.134,0,0,108569579.038891,0,904746.491990759,0,14475943358.6068,0
"102","Rubirizi",102,0,0,18960700051.2083,0,0,3077579998.71979,0,0,54943008.8772384,0,457858.40731032,0,7325734257.23079,0
"103","Rukungiri",103,0,0,1308179996729.46,0,0,203316000081.763,0,0,138994304.846579,0,1158285.87372149,0,18532573322.4704,0
"104","Serere",104,0,0,183030001519.995,0,0,102637874962,0,0,38893925.7456038,0,324116.047880032,0,5185856582.21568,0
"105","Sheema",105,0,0,521179999300.158,0,0,43989825017.4961,0,0,151023945.586665,0,1258532.87988888,0,20136525364.2804,0
"106","Sironko",106,0,0,787727000972.992,0,0,119699474975.675,0,0,109168829.162772,0,909740.243023104,0,14555843372.2914,0
"107","Soroti",107,26418889.430019,0,734760798343.421,0,0,103818540047.011,522825.024049383,0,316493659.593048,0,2637447.1632754,0,42199153116.2331,0
"108","Ssembabule",108,0,0,510870001096.26,0,0,176675999972.594,0,0,54280007.9858051,0,452333.399881709,0,7237334141.50726,0
"109","Tororo",109,26418889.430019,0,865739999251.8,0,0,211345075029.616,522825.024049383,0,459924970.855395,0,3832708.09046163,0,61323327273.164,0
"110","Wakiso",110,35401311836.2255,0,3903573302444.97,0,0,209738127309.218,700585532.226173,0,7541003655.98111,0,62841697.133176,0,1005467118481.92,0
"111","Yumbe",111,0,0,864574096460.045,0,0,277763232588.499,0,0,111572206.686873,0,929768.389057276,0,14876293697.4766,0
"112","Zombo",112,0,0,891699998508.12,0,0,97748500037.297,0,0,142114871.50185,0,1184290.59584875,0,18948648861.7545,0
