ID,iso,gid,iso3,subarea,hdi,pop,fraction_urban_pop,fraction_pop_under5,sheddingRate_bacteria,shedding_duration_bacteria,incidence_urban_under5_bacteria,incidence_urban_5plus_bacteria,incidence_rural_under5_bacteria,incidence_rural_5plus_bacteria,sheddingRate_virus,shedding_duration_virus,incidence_urban_under5_virus,incidence_urban_5plus_virus,incidence_rural_under5_virus,incidence_rural_5plus_virus,sheddingRate_protozoa,shedding_duration_protozoa,incidence_urban_under5_protozoa,incidence_urban_5plus_protozoa,incidence_rural_under5_protozoa,incidence_rural_5plus_protozoa,flushSewer_urb,flushSeptic_urb,flushPit_urb,flushOpen_urb,flushUnknown_urb,pitSlab_urb,pitNoSlab_urb,compostingToilet_urb,bucketLatrine_urb,containerBased_urb,hangingToilet_urb,openDefecation_urb,other_urb,coverBury_urb,sewageTreated_urb,fecalSludgeTreated_urb,isWatertight_urb,hasLeach_urb,emptyFrequency_urb,pitAdditive_urb,urine_urb,twinPits_urb,onsiteDumpedland_urb,flushSewer_rur,flushSeptic_rur,flushPit_rur,flushOpen_rur,flushUnknown_rur,pitSlab_rur,pitNoSlab_rur,compostingToilet_rur,bucketLatrine_rur,containerBased_rur,hangingToilet_rur,openDefecation_rur,other_rur,coverBury_rur,sewageTreated_rur,fecalSludgeTreated_rur,isWatertight_rur,hasLeach_rur,emptyFrequency_rur,pitAdditive_rur,urine_rur,twinPits_rur,onsiteDumpedland_rur,FractionPrimarytreatment,FractionSecondarytreatment,FractionTertiarytreatment,FractionPonds,fRemoval_treatment_virus,fRemoval_treatment_bacteria,fRemoval_treatment_protozoa,fEmitted_inEffluent_after_treatment_virus,fEmitted_inEffluent_after_treatment_protozoa,fEmitted_inEffluent_after_treatment_bacteria,notes1,notes2,notes3
11,11,Beijing,Beijing,Beijing,0.761,2.84E+07,0.5,0.058313799,5.00E+10,365,1.00E+00,1.00E+00,1.00E+00,1.00E+00,5.00E+10,365,1,1,1,1,1.00E+09,7,NA,NA,NA,NA,0.859,0.033,0.001,0,0,0.069,0,0.006,0.009,0,0,0.002,0.02,0.0996447,0.6768327,0.0604821,0,0,3,0,0,0,0.1,0.111,0.055,0.014,0,0,0.715,0,0.034,0.014,0,0,0.02,0.035,0.23322,0.3274863,0,0,0,3,0,0,0,0.1,0.807692308,0.192307692,0,0,,0.796153846,,,,0.201730769,,,
12,12,Tianjin,Tianjin,Tianjin,0.761,1.67E+07,0.5,0.058313799,5.00E+10,365,1.00E+00,1.00E+00,1.00E+00,1.00E+00,5.00E+10,365,1,1,1,1,1.00E+09,7,0.1,0.1,0.1,0.1,0.859,0.033,0.001,0,0,0.069,0,0.006,0.009,0,0,0.002,0.02,0.0996447,0.6768327,0.0604821,0,0,3,0,0,0,0.1,0.111,0.055,0.014,0,0,0.715,0,0.034,0.014,0,0,0.02,0.035,0.23322,0.3274863,0,0,0,3,0,0,0,0.1,0.807692308,0.192307692,0,0,,0.796153846,,,,0.201730769,,,
13,13,Hebei,Hebei,Hebei,0.761,7.71E+07,0.5,0.058313799,5.00E+10,365,1.00E+00,1.00E+00,1.00E+00,1.00E+00,5.00E+10,365,1,1,1,1,1.00E+09,7,0.1,0.1,0.1,0.1,0.859,0.033,0.001,0,0,0.069,0,0.006,0.009,0,0,0.002,0.02,0.0996447,0.6768327,0.0604821,0,0,3,0,0,0,0.1,0.111,0.055,0.014,0,0,0.715,0,0.034,0.014,0,0,0.02,0.035,0.23322,0.3274863,0,0,0,3,0,0,0,0.1,0.807692308,0.192307692,0,0,,0.796153846,,,,0.201730769,first,second,Tertiary
14,14,Shanxi,Shanxi,Shanxi,0.761,3.95E+07,0.5,0.058313799,5.00E+10,365,1.00E+00,1.00E+00,1.00E+00,1.00E+00,5.00E+10,365,1,1,1,1,1.00E+09,7,NA,NA,NA,NA,0.859,0.033,0.001,0,0,0.069,0,0.006,0.009,0,0,0.002,0.02,0.0996447,0.6768327,0.0604821,0,0,3,0,0,0,0.1,0.111,0.055,0.014,0,0,0.715,0,0.034,0.014,0,0,0.02,0.035,0.23322,0.3274863,0,0,0,3,0,0,0,0.1,0.807692308,0.192307692,0,0,,0.796153846,,,,0.201730769,0.2475,0.0095,0.00475
15,15,Nei Mongol,Nei Mongol,Nei Mongol,0.761,2.65E+07,0.5,0.058313799,5.00E+10,365,1.00E+00,1.00E+00,1.00E+00,1.00E+00,5.00E+10,365,1,1,1,1,1.00E+09,7,NA,NA,NA,NA,0.859,0.033,0.001,0,0,0.069,0,0.006,0.009,0,0,0.002,0.02,0.0996447,0.6768327,0.0604821,0,0,3,0,0,0,0.1,0.111,0.055,0.014,0,0,0.715,0,0.034,0.014,0,0,0.02,0.035,0.23322,0.3274863,0,0,0,3,0,0,0,0.1,0.807692308,0.192307692,0,0,,0.796153846,,,,0.201730769,,,
21,21,Liaoning,Liaoning,Liaoning,0.761,4.51E+07,0.5,0.058313799,5.00E+10,365,1.00E+00,1.00E+00,1.00E+00,1.00E+00,5.00E+10,365,1,1,1,1,1.00E+09,7,0.1,0.1,0.1,0.1,0.859,0.033,0.001,0,0,0.069,0,0.006,0.009,0,0,0.002,0.02,0.0996447,0.6768327,0.0604821,0,0,3,0,0,0,0.1,0.111,0.055,0.014,0,0,0.715,0,0.034,0.014,0,0,0.02,0.035,0.23322,0.3274863,0,0,0,3,0,0,0,0.1,0.807692308,0.192307692,0,0,,0.796153846,,,,0.201730769,,,
22,22,Jilin,Jilin,Jilin,0.761,2.78E+07,0.5,0.058313799,5.00E+10,365,1.00E+00,1.00E+00,1.00E+00,1.00E+00,5.00E+10,365,1,1,1,1,1.00E+09,7,0.05,0.05,0.05,0.05,0.859,0.033,0.001,0,0,0.069,0,0.006,0.009,0,0,0.002,0.02,0.0996447,0.6768327,0.0604821,0,0,3,0,0,0,0.1,0.111,0.055,0.014,0,0,0.715,0,0.034,0.014,0,0,0.02,0.035,0.23322,0.3274863,0,0,0,3,0,0,0,0.1,0.807692308,0.192307692,0,0,,0.796153846,,,,0.201730769,,,
23,23,Heilongjiang,Heilongjiang,Heilongjiang,0.761,4.05E+07,0.5,0.058313799,5.00E+10,365,1.00E+00,1.00E+00,1.00E+00,1.00E+00,5.00E+10,365,1,1,1,1,1.00E+09,7,0.05,0.05,0.05,0.05,0.859,0.033,0.001,0,0,0.069,0,0.006,0.009,0,0,0.002,0.02,0.0996447,0.6768327,0.0604821,0,0,3,0,0,0,0.1,0.111,0.055,0.014,0,0,0.715,0,0.034,0.014,0,0,0.02,0.035,0.23322,0.3274863,0,0,0,3,0,0,0,0.1,0.807692308,0.192307692,0,0,,0.796153846,,,,0.201730769,,,
31,31,Shanghai,Shanghai,Shanghai,0.761,3.04E+07,0.5,0.058313799,5.00E+10,365,1.00E+00,1.00E+00,1.00E+00,1.00E+00,5.00E+10,365,1,1,1,1,1.00E+09,7,0.05,0.05,0.05,0.05,0.859,0.033,0.001,0,0,0.069,0,0.006,0.009,0,0,0.002,0.02,0.0996447,0.6768327,0.0604821,0,0,3,0,0,0,0.1,0.111,0.055,0.014,0,0,0.715,0,0.034,0.014,0,0,0.02,0.035,0.23322,0.3274863,0,0,0,3,0,0,0,0.1,0.807692308,0.192307692,0,0,,0.796153846,,,,0.201730769,,,
32,32,Jiangsu,Jiangsu,Jiangsu,0.761,8.63E+07,0.5,0.058313799,5.00E+10,365,1.00E+00,1.00E+00,1.00E+00,1.00E+00,5.00E+10,365,1,1,1,1,1.00E+09,7,0.1,0.1,0.1,0.1,0.859,0.033,0.001,0,0,0.069,0,0.006,0.009,0,0,0.002,0.02,0.0996447,0.6768327,0.0604821,0,0,3,0,0,0,0.1,0.111,0.055,0.014,0,0,0.715,0,0.034,0.014,0,0,0.02,0.035,0.23322,0.3274863,0,0,0,3,0,0,0,0.1,0.807692308,0.192307692,0,0,,0.796153846,,,,0.201730769,,,
